tvl
"{'date': 1623888000, 'totalLiquidityUSD': 1319496887.4980853}"
"{'date': 1623974400, 'totalLiquidityUSD': 1219711728.195233}"
"{'date': 1624060800, 'totalLiquidityUSD': 1208402687.5735662}"
"{'date': 1624147200, 'totalLiquidityUSD': 1242591832.110558}"
"{'date': 1624233600, 'totalLiquidityUSD': 1040472395.4318103}"
"{'date': 1624320000, 'totalLiquidityUSD': 1037251148.5817174}"
"{'date': 1624406400, 'totalLiquidityUSD': 1101770521.6492057}"
"{'date': 1624492800, 'totalLiquidityUSD': 1133166084.3833904}"
"{'date': 1624579200, 'totalLiquidityUSD': 1039751513.3512266}"
"{'date': 1624665600, 'totalLiquidityUSD': 1028625664.3202249}"
"{'date': 1624752000, 'totalLiquidityUSD': 1093963775.153863}"
"{'date': 1624838400, 'totalLiquidityUSD': 1157031781.4309604}"
"{'date': 1624924800, 'totalLiquidityUSD': 1215551347.7246065}"
"{'date': 1625011200, 'totalLiquidityUSD': 1233812480.667853}"
"{'date': 1625097600, 'totalLiquidityUSD': 1174746738.8445654}"
"{'date': 1625184000, 'totalLiquidityUSD': 1184026168.6961024}"
"{'date': 1625270400, 'totalLiquidityUSD': 1201765970.4029806}"
"{'date': 1625356800, 'totalLiquidityUSD': 1203921551.9189537}"
"{'date': 1625443200, 'totalLiquidityUSD': 1268178925.416597}"
"{'date': 1625529600, 'totalLiquidityUSD': 1231585103.3342218}"
"{'date': 1625616000, 'totalLiquidityUSD': 1298064123.4188933}"
"{'date': 1625702400, 'totalLiquidityUSD': 1340697656.790586}"
"{'date': 1625788800, 'totalLiquidityUSD': 1231026601.5311587}"
"{'date': 1625875200, 'totalLiquidityUSD': 1206292997.6400468}"
"{'date': 1625961600, 'totalLiquidityUSD': 1232928318.3503976}"
"{'date': 1626048000, 'totalLiquidityUSD': 1249650427.4346082}"
"{'date': 1626134400, 'totalLiquidityUSD': 1211284234.812262}"
"{'date': 1626220800, 'totalLiquidityUSD': 1164904598.2851093}"
"{'date': 1626307200, 'totalLiquidityUSD': 1178935651.929638}"
"{'date': 1626393600, 'totalLiquidityUSD': 1123975903.020209}"
"{'date': 1626480000, 'totalLiquidityUSD': 1085437727.9908729}"
"{'date': 1626566400, 'totalLiquidityUSD': 1087039297.49168}"
"{'date': 1626652800, 'totalLiquidityUSD': 1090768029.4887598}"
"{'date': 1626739200, 'totalLiquidityUSD': 1039247522.3953189}"
"{'date': 1626825600, 'totalLiquidityUSD': 997977437.5494225}"
"{'date': 1626912000, 'totalLiquidityUSD': 1100553458.4389274}"
"{'date': 1626998400, 'totalLiquidityUSD': 1119537114.972441}"
"{'date': 1627084800, 'totalLiquidityUSD': 1164919598.8317602}"
"{'date': 1627171200, 'totalLiquidityUSD': 1195977120.6939745}"
"{'date': 1627257600, 'totalLiquidityUSD': 1216340828.23788}"
