tvl
"{'date': 1579993200, 'totalLiquidityUSD': 85139091.53661825}"
"{'date': 1580079600, 'totalLiquidityUSD': 87142475.19761802}"
"{'date': 1580166000, 'totalLiquidityUSD': 90173200.28573222}"
"{'date': 1580252400, 'totalLiquidityUSD': 92493607.10298236}"
"{'date': 1580338800, 'totalLiquidityUSD': 95521424.37495282}"
"{'date': 1580425200, 'totalLiquidityUSD': 95217967.49790567}"
"{'date': 1580511600, 'totalLiquidityUSD': 97567048.02907687}"
"{'date': 1580598000, 'totalLiquidityUSD': 98549676.32036379}"
"{'date': 1580684400, 'totalLiquidityUSD': 102318077.89631438}"
"{'date': 1580770800, 'totalLiquidityUSD': 100945246.9980319}"
"{'date': 1580857200, 'totalLiquidityUSD': 100849644.30450751}"
"{'date': 1580943600, 'totalLiquidityUSD': 106299892.11045259}"
"{'date': 1581030000, 'totalLiquidityUSD': 112529932.16002224}"
"{'date': 1581116400, 'totalLiquidityUSD': 118909098.92546552}"
"{'date': 1581202800, 'totalLiquidityUSD': 119640562.94026957}"
"{'date': 1581289200, 'totalLiquidityUSD': 121540603.11067109}"
"{'date': 1581375600, 'totalLiquidityUSD': 116952184.83341838}"
"{'date': 1581462000, 'totalLiquidityUSD': 118038527.86393286}"
"{'date': 1581548400, 'totalLiquidityUSD': 130395556.29770601}"
"{'date': 1581634800, 'totalLiquidityUSD': 133119530.96853632}"
"{'date': 1581721200, 'totalLiquidityUSD': 132416132.08599034}"
"{'date': 1581807600, 'totalLiquidityUSD': 136782735.1548661}"
"{'date': 1581894000, 'totalLiquidityUSD': 132348121.31762247}"
"{'date': 1581980400, 'totalLiquidityUSD': 127992851.4336677}"
"{'date': 1582066800, 'totalLiquidityUSD': 141092463.2344864}"
"{'date': 1582153200, 'totalLiquidityUSD': 163019537.97176996}"
"{'date': 1582239600, 'totalLiquidityUSD': 154921287.8110518}"
"{'date': 1582326000, 'totalLiquidityUSD': 157302014.37463868}"
"{'date': 1582412400, 'totalLiquidityUSD': 156414310.29230723}"
"{'date': 1582498800, 'totalLiquidityUSD': 160822081.27228135}"
"{'date': 1582585200, 'totalLiquidityUSD': 157961748.43954632}"
"{'date': 1582671600, 'totalLiquidityUSD': 154825793.12476632}"
"{'date': 1582758000, 'totalLiquidityUSD': 144300765.01269487}"
"{'date': 1582844400, 'totalLiquidityUSD': 143417779.20131448}"
"{'date': 1582930800, 'totalLiquidityUSD': 140876000.2114124}"
"{'date': 1583017200, 'totalLiquidityUSD': 142727649.57165202}"
"{'date': 1583103600, 'totalLiquidityUSD': 145347903.08097315}"
"{'date': 1583190000, 'totalLiquidityUSD': 146714360.71800563}"
