date,totalLiquidityUSD
1604016000,10332412481.217482
1604102400,10842094820.50949
1604188800,11074239874.133272
1604275200,11068194125.21228
1604361600,11040501650.013533
1604448000,10990079978.57287
1604534400,11083878101.032873
1604620800,11335788924.061068
1604707200,11954489046.430569
1604793600,11998431826.560135
1604880000,12168984691.594872
1604966400,12639787343.769472
1605052800,12699522590.553617
1605139200,13192981158.769804
1605225600,12991177396.636595
1605312000,13335112429.517822
1605398400,13158051055.81941
1605484800,13127773646.64111
1605571200,13210802632.080357
1605657600,12798496134.632004
1605744000,13093769827.935863
1605830400,13078228748.208115
1605916800,13783604648.849709
1606003200,13705404546.85319
1606089600,13764876023.213783
1606176000,13844494678.892677
1606262400,13900499812.735643
1606348800,13771705477.06301
1606435200,12579262638.074493
1606521600,12439362008.236551
1606608000,12818888229.035192
1606694400,13365394209.27348
1606780800,14074752413.17659
1606867200,14159998389.79587
1606953600,14167633579.708239
1607040000,14510394401.817259
1607126400,14055831710.974787
1607212800,14280388880.518011
1607299200,14383926369.991693
1607385600,14446434378.750742
1607472000,14088400336.981388
1607558400,13990108205.53086
1607644800,13855386098.16639
1607731200,13532087846.095106
1607817600,14129036361.303278
1607904000,14607249541.082573
1607990400,14619687212.281643
1608076800,14968480278.63733
1608163200,15037801854.934519
1608249600,15642106456.454426
1608336000,15590740607.515615
1608422400,16199625738.278748
1608508800,16000528225.75387
1608595200,15429334567.02205
1608681600,15814115855.692871
1608768000,16229814928.931087
1608854400,15910672944.475334
1608940800,16630827309.190182
1609027200,16896108704.87702
1609113600,17035051309.595474
1609200000,16868929791.221542
1609286400,18043174803.324314
1609372800,17141768830.491383
1609459200,17494947665.84186
1609545600,17527378054.967407
1609632000,17899722845.17135
1609718400,19691167984.96849
1609804800,20562838029.494278
1609891200,22401157104.97253
1609977600,23974658774.08525
1610064000,24749148683.57182
1610150400,25418611629.844646
1610236800,25329680500.924797
1610323200,25728533709.96105
1610409600,22678130097.4679
1610496000,23278096884.062386
1610582400,24158403580.561943
1610668800,25401138585.406258
1610755200,25051894432.0314
1610841600,26022757699.67297
1610928000,26165505709.847534
1611014400,26062963130.23763
1611100800,27697045563.17309
1611187200,26402921624.604023
1611273600,24581287844.693413
1611360000,25327874709.588867
1611446400,26137191526.45485
1611532800,28027113359.61057
1611619200,28649651364.754517
1611705600,28114756378.91227
1611792000,27355049416.23813
1611878400,28715008065.086407
1611964800,30276039394.347897
1612051200,30177905605.686832
1612137600,30263306548.001724
1612224000,30623790200.321938
1612310400,32459714840.402836
1612396800,36136829311.95726
1612483200,37566186917.05529
1612569600,39794148007.37886
1612656000,40048754811.27251
1612742400,39007008449.69699
1612828800,41424751436.71863
1612915200,43510098081.05606
1613001600,44632883543.780624
1613088000,45701061042.12235
1613174400,46600439797.522
1613260800,44914613210.709816
1613347200,46431302064.79981
1613433600,45862657907.94857
1613520000,46834707714.829155
1613606400,47575417581.58177
1613692800,48797843363.154396
1613779200,49082895329.74051
1613865600,50625749595.56515
1613952000,50363080011.17833
1614038400,47175711317.183624
1614124800,40915797677.03408
1614211200,43958465953.0683
1614297600,42871622059.02331
1614384000,40715301807.49073
1614470400,41310111098.24912
1614556800,39816335017.14886
1614643200,43285356207.98021
1614729600,43947831911.86692
1614816000,46039157591.06472
1614902400,44962046615.25784
1614988800,44210869649.668106
1615075200,45471956430.69384
1615161600,43717415731.251045
1615248000,44698227159.248634
1615334400,47632778267.43759
1615420800,48034573367.84953
1615507200,48100564202.814
1615593600,49551924926.52104
1615680000,52772576849.42473
1615766400,52685384366.65116
1615852800,43969510008.82247
1615939200,50798093367.18124
1616025600,51111635261.38401
1616112000,45583688958.57032
1616198400,53423475542.162224
1616284800,54762911408.610275
1616371200,45985787916.147644
1616457600,52801257044.36783
1616544000,50809525671.18698
1616630400,51742294643.44916
1616716800,43293598636.42173
1616803200,52042112043.14726
1616889600,46153247528.006355
1616976000,52823044333.95603
1617062400,48979826145.99389
1617148800,58184988590.03673
1617235200,50419150304.237785
1617321600,59135706410.87126
1617408000,54263857032.63868
1617494400,67907600480.97921
1617580800,58770595990.17584
1617667200,60421188231.62217
1617753600,70763036922.91992
1617840000,57930317331.416916
1617926400,68238922899.33169
1618012800,59847548205.20798
1618099200,70776363078.90636
1618185600,60170371200.42258
1618272000,60750483541.08368
1618358400,73674889473.77428
1618444800,67256341053.38476
1618531200,68698943585.23891
1618617600,80144488350.54604
1618704000,80246759949.9557
1618790400,65195225037.333206
1618876800,75108128097.9081
1618963200,75612164062.48528
1619049600,76560930647.54042
1619136000,69626496087.4253
1619222400,74199911596.47119
1619308800,72510892854.17604
1619395200,73328141488.36212
1619481600,79944025695.4335
1619568000,83102392353.81497
1619654400,86245715651.48494
1619740800,84663413169.99443
1619827200,86026054997.75125
1619913600,88815610202.07301
1620000000,89664808788.25952
1620086400,95469693605.8905
1620172800,88559237541.84956
1620259200,98750228250.71178
1620345600,90607108619.94864
1620432000,91310779169.07562
1620518400,92886053733.0851
1620604800,106857619631.2674
1620691200,95839205280.96927
1620777600,103376097011.32869
1620864000,106177602632.26112
1620950400,104100862571.6103
1621036800,104203020376.96628
1621123200,101689023049.82625
1621209600,98708665980.56798
1621296000,97388473641.81966
1621382400,86742928622.03201
1621468800,78004028570.44447
1621555200,71599928078.87926
1621641600,73834530093.63925
1621728000,66023473287.20433
1621814400,65693772915.40257
1621900800,71328240091.0341
1621987200,74469471079.68623
1622073600,78631511726.35167
1622160000,76277246877.80351
1622246400,71717107298.87454
1622332800,73986206389.09743
1622419200,77967104369.25955
1622505600,79311024938.31166
1622592000,81834466429.21176
1622678400,86697087186.82887
1622764800,86300019762.40993
1622851200,81969337759.06183
1622937600,85469537266.89995
1623024000,86515678134.2675
1623110400,86312501830.5278
