tvl
"{'date': 1599256800, 'totalLiquidityUSD': 0}"
"{'date': 1628550000, 'totalLiquidityUSD': 4603170679.051908}"
"{'date': 1628636400, 'totalLiquidityUSD': 4597279683.373138}"
"{'date': 1628722800, 'totalLiquidityUSD': 4656250229.5646}"
"{'date': 1628809200, 'totalLiquidityUSD': 4534405074.081395}"
"{'date': 1628895600, 'totalLiquidityUSD': 4876912305.002709}"
"{'date': 1628982000, 'totalLiquidityUSD': 4728413934.430398}"
"{'date': 1629068400, 'totalLiquidityUSD': 4893327575.018943}"
"{'date': 1629154800, 'totalLiquidityUSD': 4878194190.125893}"
"{'date': 1629241200, 'totalLiquidityUSD': 4680358141.8868885}"
"{'date': 1629327600, 'totalLiquidityUSD': 4674542150.102214}"
"{'date': 1629414000, 'totalLiquidityUSD': 4884681038.527298}"
"{'date': 1629500400, 'totalLiquidityUSD': 5067355140.838039}"
"{'date': 1629586800, 'totalLiquidityUSD': 5047446243.130571}"
"{'date': 1629673200, 'totalLiquidityUSD': 4979595485.13386}"
"{'date': 1629759600, 'totalLiquidityUSD': 5128523664.311462}"
"{'date': 1629846000, 'totalLiquidityUSD': 4907507852.779267}"
"{'date': 1629932400, 'totalLiquidityUSD': 4891327456.8250265}"
"{'date': 1630018800, 'totalLiquidityUSD': 4772329595.265271}"
"{'date': 1630105200, 'totalLiquidityUSD': 4951500983.812607}"
"{'date': 1630191600, 'totalLiquidityUSD': 4936867515.29709}"
"{'date': 1630278000, 'totalLiquidityUSD': 4958687945.721473}"
"{'date': 1630364400, 'totalLiquidityUSD': 4977856362.607739}"
"{'date': 1630450800, 'totalLiquidityUSD': 5045931541.083522}"
"{'date': 1630537200, 'totalLiquidityUSD': 5427009446.95764}"
"{'date': 1630623600, 'totalLiquidityUSD': 5433089183.477779}"
"{'date': 1630710000, 'totalLiquidityUSD': 5545889385.23269}"
"{'date': 1630796400, 'totalLiquidityUSD': 5508751374.154736}"
"{'date': 1630882800, 'totalLiquidityUSD': 5621279090.37671}"
"{'date': 1630969200, 'totalLiquidityUSD': 5572157629.819215}"
"{'date': 1631055600, 'totalLiquidityUSD': 4747665467.804033}"
"{'date': 1631142000, 'totalLiquidityUSD': 4777810201.74003}"
"{'date': 1631228400, 'totalLiquidityUSD': 4665235084.5793705}"
"{'date': 1631314800, 'totalLiquidityUSD': 4353333043.012841}"
"{'date': 1631401200, 'totalLiquidityUSD': 4443047040.632426}"
"{'date': 1631487600, 'totalLiquidityUSD': 4611549655.303906}"
"{'date': 1631577600, 'totalLiquidityUSD': 4663082199.125498}"
"{'date': 1631664000, 'totalLiquidityUSD': 4917141612.734724}"
"{'date': 1631750400, 'totalLiquidityUSD': 4880414669.149306}"
"{'date': 1631836800, 'totalLiquidityUSD': 4810694750.936395}"
"{'date': 1631923200, 'totalLiquidityUSD': 4824668460.532612}"
"{'date': 1632009600, 'totalLiquidityUSD': 4761116669.21696}"
"{'date': 1632096000, 'totalLiquidityUSD': 4165744276.1247787}"
"{'date': 1632182400, 'totalLiquidityUSD': 3955122739.746986}"
"{'date': 1632268800, 'totalLiquidityUSD': 4355754109.132416}"
"{'date': 1632355200, 'totalLiquidityUSD': 4544870829.947912}"
"{'date': 1632441600, 'totalLiquidityUSD': 4223152410.370602}"
"{'date': 1632528000, 'totalLiquidityUSD': 4254668697.3373237}"
"{'date': 1632614400, 'totalLiquidityUSD': 4442336528.769884}"
"{'date': 1632700800, 'totalLiquidityUSD': 4264907244.576693}"
"{'date': 1632787200, 'totalLiquidityUSD': 4105018553.359734}"
"{'date': 1632873600, 'totalLiquidityUSD': 4156082756.8355827}"
"{'date': 1632960000, 'totalLiquidityUSD': 4317762863.154064}"
"{'date': 1633046400, 'totalLiquidityUSD': 4697819706.751966}"
"{'date': 1633132800, 'totalLiquidityUSD': 4796241886.864159}"
"{'date': 1633219200, 'totalLiquidityUSD': 4874370594.173225}"
"{'date': 1633305600, 'totalLiquidityUSD': 4863523234.141179}"
"{'date': 1633392000, 'totalLiquidityUSD': 5067231667.65525}"
